imputer,model,missing_rate,mechanism,dataset,mean_accuracy,std_accuracy
Simple,LogisticRegression(),10,Uni MCAR,mobile_price,0.844,0.006819090848492937
Simple,RandomForestClassifier(),10,Uni MCAR,mobile_price,0.8055,0.015033296378372881
Simple,MLPClassifier(max_iter=1000),10,Uni MCAR,mobile_price,0.776,0.016248076809271934
MICE,LogisticRegression(),10,Uni MCAR,mobile_price,0.8445,0.006595452979136464
MICE,RandomForestClassifier(),10,Uni MCAR,mobile_price,0.812,0.017131841699011805
MICE,MLPClassifier(max_iter=1000),10,Uni MCAR,mobile_price,0.764,0.016926310879810755
KNN,LogisticRegression(),10,Uni MCAR,mobile_price,0.8550000000000001,0.011510864433221349
KNN,RandomForestClassifier(),10,Uni MCAR,mobile_price,0.8119999999999999,0.013266499161421568
KNN,MLPClassifier(max_iter=1000),10,Uni MCAR,mobile_price,0.769,0.026767517628648346
Simple,LogisticRegression(),10,Multi MCAR,mobile_price,0.827,0.014352700094407318
Simple,RandomForestClassifier(),10,Multi MCAR,mobile_price,0.7885,0.03753664875824693
Simple,MLPClassifier(max_iter=1000),10,Multi MCAR,mobile_price,0.7455,0.010049875621120885
MICE,LogisticRegression(),10,Multi MCAR,mobile_price,0.8234999999999999,0.015858751527153707
MICE,RandomForestClassifier(),10,Multi MCAR,mobile_price,0.7895,0.03218695387886216
MICE,MLPClassifier(max_iter=1000),10,Multi MCAR,mobile_price,0.7539999999999999,0.02879236009777594
KNN,LogisticRegression(),10,Multi MCAR,mobile_price,0.8324999999999999,0.01557241150239743
KNN,RandomForestClassifier(),10,Multi MCAR,mobile_price,0.798,0.03218695387886216
KNN,MLPClassifier(max_iter=1000),10,Multi MCAR,mobile_price,0.752,0.028783675929248517
Simple,LogisticRegression(),10,Uni MAR,mobile_price,0.8535,0.005385164807134518
Simple,RandomForestClassifier(),10,Uni MAR,mobile_price,0.817,0.01592168332809064
Simple,MLPClassifier(max_iter=1000),10,Uni MAR,mobile_price,0.8019999999999999,0.011661903789690614
MICE,LogisticRegression(),10,Uni MAR,mobile_price,0.8540000000000001,0.006041522986797313
MICE,RandomForestClassifier(),10,Uni MAR,mobile_price,0.8145000000000001,0.023843238035132733
MICE,MLPClassifier(max_iter=1000),10,Uni MAR,mobile_price,0.8,0.01332291259447421
KNN,LogisticRegression(),10,Uni MAR,mobile_price,0.8535,0.007681145747868621
KNN,RandomForestClassifier(),10,Uni MAR,mobile_price,0.817,0.011768602295939803
KNN,MLPClassifier(max_iter=1000),10,Uni MAR,mobile_price,0.7885,0.016401219466856708
Simple,LogisticRegression(),10,Multi MAR,mobile_price,0.8380000000000001,0.007810249675906673
Simple,RandomForestClassifier(),10,Multi MAR,mobile_price,0.8025,0.011510864433221349
Simple,MLPClassifier(max_iter=1000),10,Multi MAR,mobile_price,0.7739999999999999,0.01290348790056395
MICE,LogisticRegression(),10,Multi MAR,mobile_price,0.8400000000000001,0.005700877125495695
MICE,RandomForestClassifier(),10,Multi MAR,mobile_price,0.8045,0.01623268308074792
MICE,MLPClassifier(max_iter=1000),10,Multi MAR,mobile_price,0.7805000000000001,0.012083045973594567
KNN,LogisticRegression(),10,Multi MAR,mobile_price,0.8440000000000001,0.009300537618869148
KNN,RandomForestClassifier(),10,Multi MAR,mobile_price,0.8089999999999999,0.01914418971907663
KNN,MLPClassifier(max_iter=1000),10,Multi MAR,mobile_price,0.764,0.019144189719076644
Simple,LogisticRegression(),10,Uni MNAR,mobile_price,0.765,0.023874672772626646
Simple,RandomForestClassifier(),10,Uni MNAR,mobile_price,0.8515,0.025961509971494313
Simple,MLPClassifier(max_iter=1000),10,Uni MNAR,mobile_price,0.7879999999999999,0.029385370509830207
MICE,LogisticRegression(),10,Uni MNAR,mobile_price,0.765,0.023874672772626646
MICE,RandomForestClassifier(),10,Uni MNAR,mobile_price,0.857,0.018466185312619374
MICE,MLPClassifier(max_iter=1000),10,Uni MNAR,mobile_price,0.791,0.023377339455121927
KNN,LogisticRegression(),10,Uni MNAR,mobile_price,0.755,0.02167948338867882
KNN,RandomForestClassifier(),10,Uni MNAR,mobile_price,0.7665,0.022056745000112777
KNN,MLPClassifier(max_iter=1000),10,Uni MNAR,mobile_price,0.7595000000000001,0.010173494974687891
Simple,LogisticRegression(),10,Multi MNAR,mobile_price,0.6975,0.01294217910554477
Simple,RandomForestClassifier(),10,Multi MNAR,mobile_price,0.8300000000000001,0.02687936011143118
Simple,MLPClassifier(max_iter=1000),10,Multi MNAR,mobile_price,0.6835,0.033970575502926086
MICE,LogisticRegression(),10,Multi MNAR,mobile_price,0.7055,0.014089002803605389
MICE,RandomForestClassifier(),10,Multi MNAR,mobile_price,0.8335000000000001,0.019912307751739872
MICE,MLPClassifier(max_iter=1000),10,Multi MNAR,mobile_price,0.6819999999999999,0.021059439688652665
KNN,LogisticRegression(),10,Multi MNAR,mobile_price,0.683,0.018466185312619388
KNN,RandomForestClassifier(),10,Multi MNAR,mobile_price,0.7379999999999999,0.022214859891523067
KNN,MLPClassifier(max_iter=1000),10,Multi MNAR,mobile_price,0.674,0.008602325267042648
